4765, 47650, 3.77305, 00:36 8-3-2021, D0, W0
5494, 54940, 5.03883, 00:36 8-3-2021, D0, W0
6206, 62060, 6.42248, 00:36 8-3-2021, D0, W0
6810, 68100, 7.78234, 00:36 8-3-2021, D0, W0
7483, 74830, 9.27204, 00:37 8-3-2021, D0, W0
7988, 79880, 10.5458, 00:37 8-3-2021, D0, W0
8283, 82830, 11.2965, 00:37 8-3-2021, D0, W0
9088, 90880, 13.6254, 00:37 8-3-2021, D0, W0
9995, 99950, 16.871, 00:38 8-3-2021, D0, W0
1003, 10030, 0.0137699, 00:39 8-3-2021, R0, W0
1012, 10120, 0.0140296, 00:39 8-3-2021, R0, W0
1023, 10230, 0.014532, 00:39 8-3-2021, R0, W0
1039, 10390, 0.0159988, 00:39 8-3-2021, R0, W0
1158, 11580, 0.0219675, 00:39 8-3-2021, R0, W0
1265, 12650, 0.0261176, 00:39 8-3-2021, R0, W0
12679, 126790, 2.50317, 00:39 8-3-2021, R0, W0
1358, 13580, 0.0258935, 00:39 8-3-2021, R0, W0
1460, 14600, 0.0303107, 00:39 8-3-2021, R0, W0
1532, 15320, 0.0346978, 00:39 8-3-2021, R0, W0
1533, 15330, 0.0329423, 00:39 8-3-2021, R0, W0
1564, 15640, 0.0344425, 00:39 8-3-2021, R0, W0
1643, 16430, 0.0732619, 00:39 8-3-2021, R0, W0
2184, 21840, 0.0680805, 00:39 8-3-2021, R0, W0
2460, 24600, 0.081219, 00:39 8-3-2021, R0, W0
2471, 24710, 0.0861213, 00:39 8-3-2021, R0, W0
2551, 25510, 0.0914923, 00:39 8-3-2021, R0, W0
2640, 26400, 0.0922298, 00:39 8-3-2021, R0, W0
3143, 31430, 0.130678, 00:39 8-3-2021, R0, W0
3184, 31840, 0.159023, 00:39 8-3-2021, R0, W0
3431, 34310, 0.16117, 00:39 8-3-2021, R0, W0
3741, 37410, 0.197529, 00:39 8-3-2021, R0, W0
3920, 39200, 0.215546, 00:39 8-3-2021, R0, W0
4255, 42550, 0.237078, 00:39 8-3-2021, R0, W0
4339, 43390, 0.251966, 00:39 8-3-2021, R0, W0
4496, 44960, 0.265522, 00:39 8-3-2021, R0, W0
4693, 46930, 0.284586, 00:39 8-3-2021, R0, W0
4759, 47590, 0.296667, 00:39 8-3-2021, R0, W0
4765, 47650, 0.2976, 00:39 8-3-2021, R0, W0
5494, 54940, 0.392887, 00:39 8-3-2021, R0, W0
6206, 62060, 0.508583, 00:39 8-3-2021, R0, W0
6810, 68100, 0.601077, 00:39 8-3-2021, R0, W0
7483, 74830, 0.742773, 00:39 8-3-2021, R0, W0
7988, 79880, 0.825886, 00:39 8-3-2021, R0, W0
8283, 82830, 0.901324, 00:39 8-3-2021, R0, W0
9088, 90880, 1.11715, 00:39 8-3-2021, R0, W0
9995, 99950, 1.43208, 00:39 8-3-2021, R0, W0
